player,born,full_name,debut,last_odi,matches,innings,not_outs,runs,highest,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps,b_matches,b_innings,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts,five_wkts,ten_wkts,country,profile
GS Chappell,"August 7, 1948, Unley, Adelaide, South Australia",Gregory Stephen Chappell,"Australia v England at Melbourne, Jan 5, 1971","Sri Lanka v Australia at Colombo (SSC), Apr 30, 1983",74,72,14,2331,138*,40.18,3079,75.7,3,14,195,7,23,0,74,67,3108,2097,72,May-15,May-15,29.12,4.04,43.1,0,2,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
IM Chappell,"September 26, 1943, Unley, Adelaide, South Australia",Ian Michael Chappell,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Sydney, Jan 14, 1980",16,16,2,673,86,48.07,874,77,0,8,74,7,5,0,16,2,42,23,2,Feb-14,Feb-14,11.5,3.28,21,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AN Connolly,"June 29, 1939, Skipton, Victoria",Alan Norman Connolly,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,62,0,0,0,0,5.81,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
WM Lawry,"February 11, 1937, Thornbury, Melbourne, Victoria",William Morris Lawry,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,1,0,27,27,27,49,55.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GD McKenzie,"June 24, 1941, Cottesloe, Perth, Western Australia",Graham Douglas McKenzie,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,60,22,2,Feb-22,Feb-22,11,2.2,30,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AA Mallett,"July 13, 1945, Chatswood, Sydney, New South Wales",Ashley Alexander Mallett,"Australia v England at Melbourne, Jan 5, 1971","Australia v West Indies at Adelaide, Dec 20, 1975",9,3,1,14,8,7,36,38.88,0,0,1,0,4,0,9,9,502,341,11,Mar-34,Mar-34,31,4.07,45.6,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RW Marsh,"November 4, 1947, Armadale, Perth, Western Australia",Rodney William Marsh,"Australia v England at Melbourne, Jan 5, 1971","Australia v West Indies at Melbourne, Feb 12, 1984",92,76,15,1225,66,20.08,1489,82.26,0,4,86,17,120,4,92,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
IR Redpath,"May 11, 1941, Geelong, Victoria",Ian Ritchie Redpath,"Australia v England at Melbourne, Jan 5, 1971","Australia v West Indies at Adelaide, Dec 20, 1975",5,5,0,46,24,9.2,67,68.65,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KR Stackpole,"July 10, 1940, Collingwood, Melbourne, Victoria",Keith Raymond Stackpole,"Australia v England at Melbourne, Jan 5, 1971","New Zealand v Australia at Christchurch, Mar 31, 1974",6,6,0,224,61,37.33,387,57.88,0,3,28,0,1,0,6,2,77,54,3,Mar-40,Mar-40,18,4.2,25.6,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AL Thomson,"December 2, 1945, Reservoir, Victoria",Alan Lloyd Thomson,"Australia v England at Melbourne, Jan 5, 1971","Australia v England at Melbourne, Jan 5, 1971",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,22,1,Jan-22,Jan-22,22,2.06,64,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KD Walters,"December 21, 1945, Marshdale, Dungog, New South Wales",Kevin Douglas Walters,"Australia v England at Melbourne, Jan 5, 1971","Australia v New Zealand at Sydney, Feb 3, 1981",28,24,6,513,59,28.5,732,70.08,0,2,37,0,10,0,28,10,314,273,4,Feb-24,Feb-24,68.25,5.21,78.5,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
R Edwards,"December 1, 1942, Cottesloe, Perth, Western Australia",Ross Edwards,"England v Australia at Manchester, Aug 24, 1972","Australia v West Indies at Lord's, Jun 21, 1975",9,8,1,255,80*,36.42,349,73.06,0,3,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
DK Lillee,"July 18, 1949, Subiaco, Perth, Western Australia",Dennis Keith Lillee,"England v Australia at Manchester, Aug 24, 1972","Australia v West Indies at Lord's, Jun 18, 1983",63,34,8,240,42*,9.23,320,75,0,0,17,1,10,0,63,63,3593,2145,103,May-34,May-34,20.82,3.58,34.8,5,1,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RAL Massie,"April 14, 1947, Subiaco, Perth, Western Australia",Robert Arnold Lockyer Massie,"England v Australia at Manchester, Aug 24, 1972","England v Australia at Birmingham, Aug 28, 1972",3,1,1,16,16*,0,24,66.66,0,0,2,0,1,0,3,3,183,129,3,Feb-35,Feb-35,43,4.22,61,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AP Sheahan,"September 30, 1946, Werribee, Victoria",Andrew Paul Sheahan,"England v Australia at Manchester, Aug 24, 1972","England v Australia at Birmingham, Aug 28, 1972",3,3,0,75,50,25,124,60.48,0,1,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GD Watson,"March 8, 1945, Kew, Melbourne, Victoria",Graeme Donald Watson,"England v Australia at Manchester, Aug 24, 1972","England v Australia at Lord's, Aug 26, 1972",2,2,1,11,11*,11,16,68.75,0,0,2,0,0,0,2,1,48,28,2,Feb-28,Feb-28,14,3.5,24,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
DJ Colley,"March 15, 1947, Mosman, Sydney, New South Wales",David John Colley,"England v Australia at Lord's, Aug 26, 1972","England v Australia at Lord's, Aug 26, 1972",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,66,72,0,0,0,0,6.54,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
JR Hammond,"April 19, 1950, North Adelaide, South Australia",Jeffrey Robert Hammond,"England v Australia at Birmingham, Aug 28, 1972","England v Australia at Birmingham, Aug 28, 1972",1,1,1,15,15*,0,28,53.57,0,0,1,0,0,0,1,1,54,41,1,Jan-41,Jan-41,41,4.55,54,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RJ Bright,"July 13, 1954, Footscray, Melbourne, Victoria",Raymond James Bright,"New Zealand v Australia at Dunedin, Mar 30, 1974","Australia v Pakistan at Sharjah, Apr 11, 1986",11,8,4,66,19*,16.5,122,54.09,0,0,3,1,2,0,11,10,462,350,3,Jan-28,Jan-28,116.66,4.54,154,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
IC Davis,"June 25, 1953, North Sydney, New South Wales",Ian Charles Davis,"New Zealand v Australia at Dunedin, Mar 30, 1974","England v Australia at Birmingham, Jun 4, 1977",3,3,1,12,11*,6,35,34.28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
G Dymock,"July 21, 1945, Maryborough, Queensland",Geoffrey Dymock,"New Zealand v Australia at Dunedin, Mar 30, 1974","England v Australia at The Oval, Aug 20, 1980",15,7,4,35,14*,11.66,82,42.68,0,0,1,0,1,0,15,14,806,412,15,Feb-21,Feb-21,27.46,3.06,53.7,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GJ Gilmour,"June 26, 1951, Waratah, New South Wales",Gary John Gilmour,"New Zealand v Australia at Dunedin, Mar 30, 1974","Australia v West Indies at Adelaide, Dec 20, 1975",5,2,1,42,28*,42,39,107.69,0,0,7,0,2,0,5,5,320,165,16,Jun-14,Jun-14,10.31,3.09,20,0,2,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
MHN Walker,"September 12, 1948, West Hobart, Tasmania",Maxwell Henry Norman Walker,"New Zealand v Australia at Dunedin, Mar 30, 1974","Australia v New Zealand at Melbourne, Feb 1, 1981",17,11,3,79,20,9.87,170,46.47,0,0,6,0,6,0,17,17,1006,546,20,Apr-19,Apr-19,27.3,3.25,50.3,1,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AJ Woodcock,"February 27, 1947, Adelaide, South Australia",Ashley James Woodcock,"New Zealand v Australia at Christchurch, Mar 31, 1974","New Zealand v Australia at Christchurch, Mar 31, 1974",1,1,0,53,53,53,67,79.1,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
WJ Edwards,"December 23, 1949, Subiaco, Perth, Western Australia",Walter John Edwards,"Australia v England at Melbourne, Jan 1, 1975","Australia v England at Melbourne, Jan 1, 1975",1,1,0,2,2,2,14,14.28,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AG Hurst,"July 15, 1950, Altona, Melbourne, Victoria",Alan George Hurst,"Australia v England at Melbourne, Jan 1, 1975","Australia v Canada at Birmingham, Jun 16, 1979",8,4,4,7,3*,0,19,36.84,0,0,0,0,1,0,8,7,402,203,12,May-21,May-21,16.91,3.02,33.5,0,1,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
TJ Jenner,"September 8, 1944, Mount Lawley, Perth, Western Australia",Terrence James Jenner,"Australia v England at Melbourne, Jan 1, 1975","Australia v England at Melbourne, Jan 1, 1975",1,1,0,12,12,12,25,48,0,0,1,0,0,0,1,1,64,28,0,0,0,0,2.62,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
JR Thomson,"August 16, 1950, Greenacre, Sydney, New South Wales",Jeffrey Robert Thomson,"Australia v England at Melbourne, Jan 1, 1975","England v Australia at Lord's, Jun 3, 1985",50,30,6,181,21,7.54,280,64.64,0,0,9,2,9,0,50,50,2696,1942,55,Apr-67,Apr-67,35.3,4.32,49,1,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RB McCosker,"December 11, 1946, Inverell, New South Wales",Richard Bede McCosker,"Australia v Pakistan at Leeds, Jun 7, 1975","Australia v West Indies at Brisbane, Jan 17, 1982",14,14,0,320,95,22.85,623,51.36,0,2,14,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
A Turner,"July 23, 1950, Camperdown, Sydney, New South Wales",Alan Turner,"Australia v Pakistan at Leeds, Jun 7, 1975","Australia v West Indies at Adelaide, Dec 20, 1975",6,6,0,247,101,41.16,309,79.93,1,0,25,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GJ Cosier,"April 25, 1953, Richmond, Melbourne, Victoria",Gary John Cosier,"Australia v West Indies at Adelaide, Dec 20, 1975","Australia v Canada at Birmingham, Jun 16, 1979",9,7,2,154,84,30.8,166,92.77,0,1,15,2,4,0,9,8,409,248,14,May-18,May-18,17.71,3.63,29.2,0,1,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
DW Hookes,"May 3, 1955, Mile End, Adelaide, South Australia",David William Hookes,"England v Australia at Manchester, Jun 2, 1977","Australia v India at Brisbane, Jan 12, 1986",39,36,2,826,76,24.29,1146,72.07,0,5,73,13,11,0,39,3,29,28,1,01-Feb,01-Feb,28,5.79,29,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
MF Malone,"October 9, 1950, Scarborough, Perth, Western Australia",Michael Francis Malone,"England v Australia at Manchester, Jun 2, 1977","Australia v West Indies at Sydney, Jan 27, 1982",10,7,3,36,15*,9,63,57.14,0,0,5,0,1,0,10,10,612,315,11,02-Sep,02-Sep,28.63,3.08,55.6,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KJ O'Keeffe,"November 25, 1949, Hurstville, Sydney, New South Wales",Kerry James O'Keeffe,"England v Australia at Manchester, Jun 2, 1977","England v Australia at The Oval, Jun 6, 1977",2,2,1,16,16*,16,38,42.1,0,0,1,0,0,0,2,2,132,79,2,Jan-36,Jan-36,39.5,3.59,66,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
LS Pascoe,"February 13, 1950, Bridgetown North, Western Australia",Leonard Stephen Pascoe,"England v Australia at Manchester, Jun 2, 1977","New Zealand v Australia at Wellington, Feb 20, 1982",29,11,7,39,15*,9.75,102,38.23,0,0,2,0,6,0,29,28,1568,1066,53,May-30,May-30,20.11,4.07,29.5,4,1,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
CS Serjeant,"November 1, 1951, Nedlands, Perth, Western Australia",Craig Stanton Serjeant,"England v Australia at Manchester, Jun 2, 1977","West Indies v Australia at Castries, Apr 12, 1978",3,3,0,73,46,24.33,158,46.2,0,0,7,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KJ Hughes,"January 26, 1954, Margaret River, Western Australia",Kimberley John Hughes,"England v Australia at Birmingham, Jun 4, 1977","Australia v India at Sharjah, Mar 29, 1985",97,88,6,1968,98,24,2919,67.42,0,17,141,12,27,0,97,1,1,4,0,0,0,0,24,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RD Robinson,"June 8, 1946, East Melbourne, Victoria",Richard Daryl Robinson,"England v Australia at Birmingham, Jun 4, 1977","England v Australia at The Oval, Jun 6, 1977",2,2,0,82,70,41,143,57.34,0,1,7,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
IW Callen,"May 2, 1955, Alexandra, Victoria",Ian Wayne Callen,"West Indies v Australia at St John's, Feb 22, 1978","Pakistan v Australia at Karachi, Oct 22, 1982",5,3,2,6,3*,6,13,46.15,0,0,0,0,2,0,5,4,180,148,5,Mar-24,Mar-24,29.6,4.93,36,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
WM Clark,"September 19, 1953, Perth, Western Australia",Wayne Maxwell Clark,"West Indies v Australia at St John's, Feb 22, 1978","West Indies v Australia at Castries, Apr 12, 1978",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,61,3,Feb-39,Feb-39,20.33,3.66,33.3,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
WM Darling,"May 1, 1957, Waikerie, South Australia",Warrick Maxwell Darling,"West Indies v Australia at St John's, Feb 22, 1978","Australia v West Indies at Melbourne, Jan 23, 1982",18,18,1,363,74,21.35,679,53.46,0,1,26,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
TJ Laughlin,"January 30, 1951, Nyah West, Victoria",Trevor John Laughlin,"West Indies v Australia at St John's, Feb 22, 1978","Australia v England at Sydney, Dec 11, 1979",6,5,1,105,74,26.25,160,65.62,0,1,6,1,0,0,6,6,308,224,8,Mar-54,Mar-54,28,4.36,38.5,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
SJ Rixon,"February 25, 1954, Albury, New South Wales",Stephen John Rixon,"West Indies v Australia at St John's, Feb 22, 1978","Australia v India at Sharjah, Mar 29, 1985",6,6,3,40,20*,13.33,98,40.81,0,0,1,0,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RB Simpson,"February 3, 1936, Marrickville, Sydney, New South Wales",Robert Baddeley Simpson,"West Indies v Australia at St John's, Feb 22, 1978","West Indies v Australia at Castries, Apr 12, 1978",2,2,0,36,23,18,53,67.92,0,0,3,1,4,0,2,2,102,95,2,Feb-30,Feb-30,47.5,5.58,51,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
PM Toohey,"April 20, 1954, Blayney, New South Wales",Peter Michael Toohey,"West Indies v Australia at St John's, Feb 22, 1978","Australia v England at Melbourne, Feb 7, 1979",5,4,2,105,54*,52.5,133,78.94,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GM Wood,"November 6, 1956, East Fremantle, Western Australia",Graeme Malcolm Wood,"West Indies v Australia at St John's, Feb 22, 1978","Australia v West Indies at Melbourne, Jan 14, 1989",83,77,11,2219,114*,33.62,3725,59.57,3,11,0,0,17,0,83,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GN Yallop,"October 7, 1952, Balwyn, Melbourne, Victoria",Graham Neil Yallop,"West Indies v Australia at St John's, Feb 22, 1978","India v Australia at Indore, Oct 6, 1984",30,27,6,823,66*,39.19,1288,63.89,0,7,64,3,5,0,30,4,138,119,3,Feb-28,Feb-28,39.66,5.17,46,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
B Yardley,"September 5, 1947, Midland, Western Australia",Bruce Yardley,"West Indies v Australia at Castries, Apr 12, 1978","Sri Lanka v Australia at Colombo (SSC), Apr 30, 1983",7,4,0,58,28,14.5,98,59.18,0,0,1,0,1,0,7,5,198,130,7,Mar-28,Mar-28,18.57,3.93,28.2,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AR Border,"July 27, 1955, Cremorne, Sydney, New South Wales",Allan Robert Border,"Australia v England at Sydney, Jan 13, 1979","South Africa v Australia at Bloemfontein, Apr 8, 1994",273,252,39,6524,127*,30.62,9134,71.42,3,39,500,43,127,0,273,87,2661,2071,73,Mar-20,Mar-20,28.36,4.66,36.4,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
PH Carlson,"August 8, 1951, Nundah, Brisbane, Queensland",Phillip Henry Carlson,"Australia v England at Sydney, Jan 13, 1979","Australia v England at Melbourne, Feb 7, 1979",4,2,0,11,11,5.5,30,36.66,0,0,2,0,0,0,4,3,168,70,2,Jan-21,Jan-21,35,2.5,84,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
JA Maclean,"April 27, 1946, Herston, Brisbane, Queensland",John Alexander Maclean,"Australia v England at Sydney, Jan 13, 1979","Australia v England at Melbourne, Jan 24, 1979",2,1,0,11,11,11,33,33.33,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
AMJ Hilditch,"May 20, 1956, North Adelaide, South Australia",Andrew Mark Jefferson Hilditch,"Australia v England at Melbourne, Jan 24, 1979","England v Australia at Lord's, Jun 3, 1985",8,8,0,226,72,28.25,476,47.47,0,1,15,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
RM Hogg,"March 5, 1951, Richmond, Melbourne, Victoria",Rodney Malcolm Hogg,"Australia v England at Melbourne, Jan 24, 1979","Australia v India at Melbourne, Mar 3, 1985",71,35,20,137,22,9.13,217,63.13,0,0,8,0,8,0,71,67,3677,2418,85,Apr-29,Apr-29,28.44,3.94,43.2,5,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
KJ Wright,"December 27, 1953, North Fremantle, Western Australia",Kevin John Wright,"Australia v England at Melbourne, Feb 4, 1979","Australia v Canada at Birmingham, Jun 16, 1979",5,2,0,29,23,14.5,52,55.76,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
JK Moss,"June 29, 1947, Melbourne, Victoria",Jeffrey Kenneth Moss,"Australia v Pakistan at Nottingham, Jun 13014, 1979","Australia v Pakistan at Nottingham, Jun 13014, 1979",1,1,0,7,7,7,16,43.75,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
GD Porter,"March 18, 1955, Middle Swan, Western Australia",Graeme David Porter,"Australia v Pakistan at Nottingham, Jun 13014, 1979","Australia v Canada at Birmingham, Jun 16, 1979",2,1,0,3,3,3,9,33.33,0,0,0,0,1,0,2,2,108,33,3,Feb-13,Feb-13,11,1.83,36,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
BM Laird,"November 21, 1950, Mount Lawley, Perth, Western Australia",Bruce Malcolm Laird,"Australia v West Indies at Sydney, Nov 27, 1979","Pakistan v Australia at Lahore, Oct 8, 1982",23,23,3,594,117*,29.7,1105,53.75,1,2,52,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,Australia,https://vignette.wikia.nocookie.net/logopedia/images/6/6d/91d2ed0d-9470-40d2-bebc-8a954f9595f9.png/revision/latest/scale-to-width-down/387?cb=20180103230049
